"","V1","V2","V3","V4","V5","V6","V7"
"out",0,0.0613762157620713,-0.0996775474098182,-0.0480227967938096,-1.0256457444394,-0.411902994930274,0.125723337481251
"elt",0,0.0675912915134877,-0.0976168084806099,-0.0469970582575772,-0.966869801320448,-0.397242934782724,0.127256105783691
"elt",0,0.072732598266134,-0.0948203002362904,-0.0456052711438504,-0.912930867274945,-0.38218795970037,0.127833046592973
"elt",0,0.0550811754444486,-0.0961271802160271,-0.0496410581633042,-1.05994092512401,-0.447456537239061,0.120286666529438
"elt",0,0.062223490545008,-0.094779396977826,-0.0488907779873433,-0.994077738651462,-0.431480167830639,0.122732696524789
"elt",0,0.0682545851376507,-0.0925177082669034,-0.0476611941215675,-0.933716751589332,-0.414722896362669,0.12415713372093
"elt",0,0.0731369650649925,-0.0895271420722114,-0.0460569243886211,-0.878783244694568,-0.397698961491021,0.124539737653105
"elt",0,0.0557392782958427,-0.090729719524007,-0.0504716948929005,-1.02713722371415,-0.470593021710584,0.116844948521671
"elt",0,0.062734932355896,-0.0891973351257361,-0.0495350546216676,-0.959066228010195,-0.452127491883546,0.119248613198493
"elt",0,0.0685330218958324,-0.086747631980287,-0.0480889865930144,-0.897272391543263,-0.43298313510703,0.120524098444147
"elt",0,0.0731324600167145,-0.0836195758249468,-0.0462814211942428,-0.841561758879932,-0.413749363365648,0.120707336955025
"elt",0,0.0560470230817499,-0.0846037214994388,-0.0510449690862055,-0.990285364486023,-0.495171290796484,0.112915644605922
"elt",0,0.062835434584379,-0.0828823637763391,-0.0498989702326135,-0.920144148929737,-0.473807227415635,0.115216419297944
"elt",0,0.06836254023743,-0.080293438311787,-0.0482421698832157,-0.857175943504283,-0.451949457990677,0.116313176086127
"elt",0,0.0472843113279022,-0.110833597435092,-0.0456384296320251,-1.18121673951473,-0.38015678429435,0.127999520315622
"elt",0,0.0555513339781935,-0.110203161051965,-0.0453837911173514,-1.1157319475013,-0.369955380171882,0.130833202498924
"elt",0,0.0629600198354033,-0.10865297618407,-0.044770197754912,-1.05425212848222,-0.358683508315508,0.132893693559195
"elt",0,0.0693661577096218,-0.106259942956366,-0.0438058036090304,-0.996987341216138,-0.34669334786048,0.134078620542115
"elt",0,0.0746897356084961,-0.103146931758427,-0.0425245640278415,-0.944062002780433,-0.334319143070562,0.134350258596672
"elt",0,0.0395684280463285,-0.106831726882533,-0.0469338392870958,-1.23054997303227,-0.411148987862439,0.122044938590151
"elt",0,0.0486955746667724,-0.107135959697436,-0.0470112340938831,-1.15783367358782,-0.400848668112597,0.125689064276407
"elt",0,0.0570516931337309,-0.106389992019457,-0.0466749404587126,-1.08941873114403,-0.388974587275094,0.128618993156862
"elt",0,0.0757655861558051,-0.0986528747142477,-0.0432724188777036,-0.912593280703539,-0.348152291359903,0.131795788029534
"elt",0,0.0308008424532321,-0.101177630808936,-0.0477823822148153,-1.28916108169494,-0.445311269658433,0.114721963497017
"elt",0,0.0407136508343386,-0.102612416222607,-0.0482909610921679,-1.20805956231819,-0.435398926011647,0.11914999768428
"elt",0,0.0499937216234951,-0.102858717615994,-0.0483230682557343,-1.13151299915246,-0.423256828185402,0.122969508983733
